PBE0, MBD correlation, PMBD correlation and GA results for water dimer (Cavity Frequency = 2.0 eV; coupling strength = 0.05 a.u.)
Distance O-H (A)                         E0 (PBE)                     MBD Correlation               PMBD corr (pol x)                PMBD corr (pol y)             PMBD corr (pol z)                  GA corr
1.906444444444444386e+00        -1.527280217312853665e+02       -1.004494362669916541e-03       5.212940325231230076e-03        5.218848789604102478e-03        5.497566413663612650e-03        9.005869373862678343e-03
1.961999999999999966e+00        -1.527280044389439126e+02       -9.894615404197892872e-04       5.222880658279471788e-03        5.228890760203164234e-03        5.504050012739902797e-03        9.004446666139351296e-03
2.017555555555555546e+00        -1.527278890440591397e+02       -9.733686119917095425e-04       5.234818614884062526e-03        5.240923547049192166e-03        5.512194773135803416e-03        9.002446294367251814e-03
2.073111111111111349e+00        -1.527277024413423590e+02       -9.563882926810762797e-04       5.248410081033938468e-03        5.254604847554134039e-03        5.521675333302056288e-03        8.999934497639059533e-03
2.128666666666666707e+00        -1.527274654985752989e+02       -9.386944744393943552e-04       5.263345539991526323e-03        5.269626575342911678e-03        5.532204296700093948e-03        8.996981096992756957e-03
2.184222222222222065e+00        -1.527271942395336453e+02       -9.204532742144166946e-04       5.279351142703170296e-03        5.285715980028804495e-03        5.543532094104186569e-03        8.993656238580173892e-03
2.239777777777777423e+00        -1.527269008445242662e+02       -9.018162273948249208e-04       5.296188862693007593e-03        5.302635868436489375e-03        5.555446120492746331e-03        8.990030741366946548e-03
2.295333333333333226e+00        -1.527265945197257508e+02       -8.829161472503344044e-04       5.313655849812803922e-03        5.320184008999362391e-03        5.567769345166340145e-03        8.986174195848822821e-03
2.350888888888889028e+00        -1.527262822478602402e+02       -8.638657525894544165e-04       5.331582031049109105e-03        5.338190784239138509e-03        5.580357421856696476e-03        8.982150398867285931e-03
2.406444444444444386e+00        -1.527259693698998433e+02       -8.447588135727102099e-04       5.349826208851382603e-03        5.356515318983845475e-03        5.593094527668540650e-03        8.978016040272172871e-03
2.461999999999999744e+00        -1.527256600112492606e+02       -8.256732460418803043e-04       5.368271043134420495e-03        5.375040490929627879e-03        5.605888293939820244e-03        8.973825533302228277e-03
2.517555555555555102e+00        -1.527253573901093660e+02       -8.066753290760786399e-04       5.386816712981357114e-03        5.393666620236103881e-03        5.618663494327158503e-03        8.969628910020869747e-03
2.573111111111110905e+00        -1.527250639984361271e+02       -7.878243016854469261e-04       5.405375641021947786e-03        5.412306195585081525e-03        5.631356913130325381e-03        8.965468551542201542e-03
2.628666666666666707e+00        -1.527247816993348408e+02       -7.691765591957278048e-04       5.423868424897726470e-03        5.430879809638966549e-03        5.643913443180714751e-03        8.961387926743995258e-03
2.684222222222222065e+00        -1.527245118480660437e+02       -7.507885418860382742e-04       5.442217861066467322e-03        5.449310253337280585e-03        5.656279979992184792e-03        8.957422169623797253e-03
2.739777777777777423e+00        -1.527242553447123328e+02       -7.327184085399451874e-04       5.460347340760840495e-03        5.467520884089971389e-03        5.668403791919907064e-03        8.953591795076702720e-03
2.795333333333333226e+00        -1.527240125678410152e+02       -7.150267586117919905e-04       5.478185409352853696e-03        5.485440100079230774e-03        5.680237270452970222e-03        8.949929976408874457e-03
2.850888888888889028e+00        -1.527237834890782722e+02       -6.977752801207159905e-04       5.495661209416802251e-03        5.502996965155659836e-03        5.691732815385819322e-03        8.946470067348225724e-03
2.906444444444444386e+00        -1.527235679309816874e+02       -6.810241336596689621e-04       5.512698809284621859e-03        5.520115605415654159e-03        5.702836318388193604e-03        8.943205536398901936e-03
2.961999999999999744e+00        -1.527233655476152876e+02       -6.648305310141822133e-04       5.529231316837801558e-03        5.536729011157426328e-03        5.713501638837215069e-03        8.940114626184344701e-03
3.017555555555555102e+00        -1.527231756435972443e+02       -6.492471627623785935e-04       5.545210953586732217e-03        5.552789088982379440e-03        5.723700863944358730e-03        8.937208921018985341e-03
3.073111111111111349e+00        -1.527229972615508871e+02       -6.343185395412120897e-04       5.560589234640644918e-03        5.568247307514262445e-03        5.733403145047333282e-03        8.934527481073865907e-03
3.128666666666666707e+00        -1.527228295646831100e+02       -6.200788090016118304e-04       5.575311517338477074e-03        5.583049136257400846e-03        5.742568615797694065e-03        8.932087644594136761e-03
3.184222222222222065e+00        -1.527226720481792199e+02       -6.065528023402322333e-04       5.589345433897108251e-03        5.597162021921953112e-03        5.751177889603553695e-03        8.929854592925692142e-03
3.239777777777777423e+00        -1.527225243307460403e+02       -5.937561717050954258e-04       5.602687137567841091e-03        5.610581768790368073e-03        5.759238466741756213e-03        8.927769218363324280e-03
3.295333333333332781e+00        -1.527223856150410199e+02       -5.816940503677869856e-04       5.615332067940848049e-03        5.623303663104373129e-03        5.766754612016811166e-03        8.925832551645567631e-03
3.350888888888889028e+00        -1.527222548678956855e+02       -5.703607328850779368e-04       5.627256926008072924e-03        5.635304378873051689e-03        5.773708723184611813e-03        8.924079778549368763e-03
3.406444444444444386e+00        -1.527221315560452979e+02       -5.597434711237525562e-04       5.638461121523441477e-03        5.646583149395034695e-03        5.780104526700746703e-03        8.922511927422327460e-03
3.461999999999999744e+00        -1.527220157780194825e+02       -5.498237785221959939e-04       5.648971448329653811e-03        5.657166568200366896e-03        5.785971848951021457e-03        8.921070989849374036e-03
3.517555555555555102e+00        -1.527219074347340779e+02       -5.405779098568430641e-04       5.658822577967015377e-03        5.667089181799589426e-03        5.791346996318225138e-03        8.919724919246934183e-03
3.573111111111111349e+00        -1.527218056607272274e+02       -5.319759072275331846e-04       5.668020208648982816e-03        5.676356489743739075e-03        5.796234518294696159e-03        8.918485582549453422e-03
3.628666666666666707e+00        -1.527217095344789755e+02       -5.239855934275894356e-04       5.676582650004036168e-03        5.684986579476358770e-03        5.800650839868026765e-03        8.917381919308632957e-03
3.684222222222222065e+00        -1.527216189672076041e+02       -5.165740892802972439e-04       5.684551746298893704e-03        5.693021268620590547e-03        5.804635636406096921e-03        8.916384795319474629e-03
3.739777777777777423e+00        -1.527215341545698095e+02       -5.097069227275596859e-04       5.691955203298348920e-03        5.700488224079869326e-03        5.808213351986779571e-03        8.915454398348714865e-03
3.795333333333332781e+00        -1.527214547794806663e+02       -5.033500394500123321e-04       5.698831984674690432e-03        5.707426335771259573e-03        5.811419493493730215e-03        8.914598888225070891e-03
3.850888888888889028e+00        -1.527213802760811632e+02       -4.974680390619212744e-04       5.705191854613822500e-03        5.713845135778328199e-03        5.814258444956976746e-03        8.913797367066034899e-03
3.906444444444444386e+00        -1.527213101187266773e+02       -4.920287166978454252e-04       5.711093542091205677e-03        5.719803496679887189e-03        5.816784542219011200e-03        8.913050947384862019e-03
3.961999999999999744e+00        -1.527212440252462500e+02       -4.870006588157949068e-04       5.716579956869694001e-03        5.725344456423364647e-03        5.819036040750624750e-03        8.912371510178358422e-03
4.017555555555555102e+00        -1.527211818788476023e+02       -4.823521301240418779e-04       5.721646429966753544e-03        5.730463066663915583e-03        5.821002550113085761e-03        8.911749735801112807e-03
4.073111111111110461e+00        -1.527211235531516706e+02       -4.780549200082973016e-04       5.726337378672674561e-03        5.735203876725769589e-03        5.822723548472907851e-03        8.911162124037136714e-03
4.128666666666666707e+00        -1.527210686258396777e+02       -4.740817860868773437e-04       5.730677203668044228e-03        5.739591265915500173e-03        5.824218027834504596e-03        8.910614994270716835e-03
4.184222222222222065e+00        -1.527210168008231506e+02       -4.704075729247136906e-04       5.734698225534629046e-03        5.743657677910185555e-03        5.825513058336007077e-03        8.910104373935303149e-03
4.239777777777777423e+00        -1.527209679506303246e+02       -4.670092011096471651e-04       5.738441062848487206e-03        5.747444014223113129e-03        5.826644241932577017e-03        8.909615821611061373e-03
4.295333333333332781e+00        -1.527209217647441619e+02       -4.638648704577974513e-04       5.741927731299334425e-03        5.750972302723589280e-03        5.827628766195580567e-03        8.909169849078343861e-03
4.350888888888889028e+00        -1.527208780534384118e+02       -4.609536312374373779e-04       5.745159364987095785e-03        5.754243520910584664e-03        5.828462446770821259e-03        8.908755556724641186e-03
4.406444444444444386e+00        -1.527208367108217999e+02       -4.582564066009098269e-04       5.748144863712667529e-03        5.757266529170301794e-03        5.829149080727624721e-03        8.908354142381532184e-03
4.461999999999999744e+00        -1.527207975151004007e+02       -4.557570331256144414e-04       5.750932444634315743e-03        5.760089988993577492e-03        5.829732808686927115e-03        8.907980156901083510e-03
4.517555555555555102e+00        -1.527207603483183505e+02       -4.534396795508044420e-04       5.753538653180179097e-03        5.762730545394667558e-03        5.830225710391268024e-03        8.907630988297969218e-03
4.573111111111110461e+00        -1.527207251078734487e+02       -4.512896227497620316e-04       5.755971874407350697e-03        5.765196553599416518e-03        5.830631858680490609e-03        8.907300722466171897e-03
4.628666666666666707e+00        -1.527206916295259020e+02       -4.492939491074210423e-04       5.758260334378206835e-03        5.767516534566752284e-03        5.830975510253466609e-03        8.906991263233698247e-03
4.684222222222222065e+00        -1.527206597588939587e+02       -4.474400771341535687e-04       5.760405740952379006e-03        5.769692134944826023e-03        5.831254242405492505e-03        8.906701509739748182e-03
4.739777777777777423e+00        -1.527206293919488189e+02       -4.457162738162878668e-04       5.762401716244092142e-03        5.771716801524995333e-03        5.831457679161822227e-03        8.906427466841858320e-03
4.795333333333332781e+00        -1.527206004900972971e+02       -4.441127806869005212e-04       5.764275252225559143e-03        5.773617854821111450e-03        5.831609476119936630e-03        8.906166538520160839e-03
4.850888888888889028e+00        -1.527205729809759589e+02       -4.426205440752895015e-04       5.766047207602653657e-03        5.775416374524944274e-03        5.831727303100997517e-03        8.905920620896304318e-03
4.906444444444444386e+00        -1.527205467689753391e+02       -4.412307605408116729e-04       5.767719044504460157e-03        5.777113744159123598e-03        5.831809381956709615e-03        8.905690763367718824e-03
4.961999999999999744e+00        -1.527205217854201180e+02       -4.399355202240329277e-04       5.769298385747134716e-03        5.778717661551802109e-03        5.831860233633356927e-03        8.905474269452989464e-03
5.017555555555555102e+00        -1.527204979580854172e+02       -4.387275737212092963e-04       5.770792515470191120e-03        5.780235507193864919e-03        5.831884153891131461e-03        8.905269743909528107e-03
5.073111111111110461e+00        -1.527204752007869786e+02       -4.376003209287659956e-04       5.772208950906687619e-03        5.781674887782806138e-03        5.831885894668431547e-03        8.905079266823982820e-03
5.128666666666665819e+00        -1.527204534598948555e+02       -4.365475234786586611e-04       5.773547319699368074e-03        5.783035378943424121e-03        5.831862441146640208e-03        8.904900863810068928e-03
5.184222222222222065e+00        -1.527204327091735365e+02       -4.355635449684314153e-04       5.774810185109835459e-03        5.784319516672020711e-03        5.831813916558736821e-03        8.904730882118093438e-03
5.239777777777777423e+00        -1.527204128951576649e+02       -4.346434795632347914e-04       5.776009709409279935e-03        5.785539603985867529e-03        5.831750263142865265e-03        8.904570294070766542e-03
5.295333333333332781e+00        -1.527203939562249673e+02       -4.337827123670479068e-04       5.777153592317674224e-03        5.786703449608410210e-03        5.831676977098965153e-03        8.904420455063425874e-03
5.350888888888888140e+00        -1.527203758420497479e+02       -4.329767881667834217e-04       5.778240709233273265e-03        5.787809884520100923e-03        5.831590789267870889e-03        8.904280709026782259e-03
5.406444444444444386e+00        -1.527203585101931367e+02       -4.322216918293264598e-04       5.779272839528282191e-03        5.788860684174501614e-03        5.831491486940620916e-03        8.904150044955797330e-03
5.461999999999999744e+00        -1.527203419215688314e+02       -4.315138062480627923e-04       5.780254562659514761e-03        5.789860500382104647e-03        5.831384188723198747e-03        8.904027667309272198e-03
5.517555555555555102e+00        -1.527203260305534798e+02       -4.308498905141178170e-04       5.781193857092858934e-03        5.790815031682328140e-03        5.831265536129670579e-03        8.903913860287058016e-03
5.573111111111110461e+00        -1.527203107923715493e+02       -4.302264663706978354e-04       5.782077258175810641e-03        5.791717698797604896e-03        5.831134665009507501e-03        8.903807942467791003e-03
5.628666666666665819e+00        -1.527202961776776533e+02       -4.296409376651766365e-04       5.782918125916580721e-03        5.792574893171753558e-03        5.830993886350555044e-03        8.903709529791407895e-03
5.684222222222222065e+00        -1.527202821548073359e+02       -4.290907373878383169e-04       5.783721008491227167e-03        5.793393624065501513e-03        5.830848630749230210e-03        8.903618172893347504e-03
5.739777777777777423e+00        -1.527202686871781339e+02       -4.285734318880685123e-04       5.784487783710545727e-03        5.794175783627508736e-03        5.830699346680567885e-03        8.903533496809059103e-03
5.795333333333332781e+00        -1.527202557435907693e+02       -4.280867237751451171e-04       5.785218158900207186e-03        5.794921048824619447e-03        5.830544382217972554e-03        8.903454929567110668e-03
5.850888888888888140e+00        -1.527202432974689259e+02       -4.276285559567938321e-04       5.785914499986333226e-03        5.795631809636603293e-03        5.830384818633405075e-03        8.903382354972247392e-03
5.906444444444443498e+00        -1.527202313230816344e+02       -4.271969542140041654e-04       5.786575916056690971e-03        5.796307123130617356e-03        5.830218566922340528e-03        8.903315424056729155e-03
5.961999999999999744e+00        -1.527202197920479705e+02       -4.267901749761549013e-04       5.787205110506121741e-03        5.796949720541455520e-03        5.830047175558128458e-03        8.903254860445589114e-03
6.017555555555555102e+00        -1.527202086822007061e+02       -4.264066377528408225e-04       5.787806137215412150e-03        5.797563738259015054e-03        5.829875967621411803e-03        8.903201137449221619e-03
6.073111111111110461e+00        -1.527201979725577985e+02       -4.260447602097983122e-04       5.788377645195019738e-03        5.798147766729044861e-03        5.829695386844413463e-03        8.903153080417591445e-03
6.128666666666665819e+00        -1.527201876501393656e+02       -4.257031777168407416e-04       5.788922671468910153e-03        5.798704882135297112e-03        5.829514659965617795e-03        8.903108911688240382e-03
6.184222222222222065e+00        -1.527201776955078856e+02       -4.253806399026061058e-04       5.789444779715324785e-03        5.799238712199894508e-03        5.829334008869757611e-03        8.903067607101527656e-03
6.239777777777777423e+00        -1.527201680873195642e+02       -4.250759013801896913e-04       5.789943718824908103e-03        5.799748979142371752e-03        5.829152280100835526e-03        8.903028844335122982e-03
6.295333333333332781e+00        -1.527201588134515760e+02       -4.247878129133297875e-04       5.790419558114656695e-03        5.800235735296865869e-03        5.828968684756574703e-03        8.902992830448522646e-03
6.350888888888888140e+00        -1.527201498549806047e+02       -4.245153201916096464e-04       5.790872950247383244e-03        5.800699634466610632e-03        5.828783058174025200e-03        8.902960711775126379e-03
6.406444444444443498e+00        -1.527201411993429474e+02       -4.242574801542886576e-04       5.791306137499674378e-03        5.801142960901728429e-03        5.828596848884259884e-03        8.902933444643247596e-03
6.461999999999999744e+00        -1.527201328343123805e+02       -4.240133846060700762e-04       5.791719852730636831e-03        5.801566443844663468e-03        5.828410046689214141e-03        8.902910999727084093e-03
2.696199999999999974e+01        -1.527198156713330377e+02       -4.188453366138489287e-04       5.802582870196637543e-03        5.812651850443550927e-03        5.813951503841785495e-03        8.902841278921201987e-03
