PBE0+PMBD total energy for Ar dimer (Cavity Frequency = 2.0 eV; coupling strength = 0.09 a.u.)
Distance Ar-Ar (A)                      Outside                           Pol x                         Pol y                          Pol z               
3.950000000000000178e+00        -4.211169102710243806e-04       -6.529989696164584245e-04       -6.529989868737651193e-04       1.009730440837408594e-04
4.000000000000000000e+00        -4.149816199934264205e-04       -6.418346163346022593e-04       -6.418346565566501738e-04       9.685972423723043789e-05
4.049999999999999822e+00        -4.056524928692795129e-04       -6.274845184353061711e-04       -6.274845902622949723e-04       9.562295855358726726e-05
4.099999999999999645e+00        -3.938578145117332951e-04       -6.106885873751188853e-04       -6.106885473342593684e-04       9.660388951671095015e-05
4.150000000000000355e+00        -3.802137189232723813e-04       -5.920747714927010463e-04       -5.920748014829335659e-04       9.924997112831235313e-05
4.200000000000000178e+00        -3.652384277721409944e-04       -5.721743671247558893e-04       -5.721743509581322940e-04       1.030999270024146597e-04
4.250000000000000000e+00        -3.493665076312879592e-04       -5.514339736865103703e-04       -5.514339911711907405e-04       1.077708032535262817e-04
4.299999999999999822e+00        -3.329627857020511783e-04       -5.302309962362805607e-04       -5.302310319108549663e-04       1.129428936219589730e-04
4.349999999999999645e+00        -3.163268629542415056e-04       -5.088753632835896212e-04       -5.088754094173530973e-04       1.183580023389474434e-04
4.400000000000000355e+00        -2.997070860111250568e-04       -4.876261973723039489e-04       -4.876262244066786877e-04       1.238028219741060809e-04
4.450000000000000178e+00        -2.832992026888803139e-04       -4.666862476088162737e-04       -4.666862796454118723e-04       1.291148014952447909e-04
4.500000000000000000e+00        -2.672628413584732243e-04       -4.462233062159093322e-04       -4.462233450737151941e-04       1.341609643641383798e-04
4.549999999999999822e+00        -2.517123687049149794e-04       -4.263548865028887747e-04       -4.263549130825161626e-04       1.388536844042498331e-04
4.599999999999999645e+00        -2.367419049242869278e-04       -4.071793341782203868e-04       -4.071794291973240831e-04       1.431198120935839313e-04
4.650000000000000355e+00        -2.224054267081498892e-04       -3.887518412457602324e-04       -3.887518607768036816e-04       1.469252115948727067e-04
4.700000000000000178e+00        -2.087473821994478840e-04       -3.711149597793728105e-04       -3.711149326988127939e-04       1.502442904093292952e-04
4.750000000000000000e+00        -1.957853535223819108e-04       -3.542879267288689960e-04       -3.542879505800122786e-04       1.530711386403815766e-04
4.799999999999999822e+00        -1.835192520012185469e-04       -3.382636034703345729e-04       -3.382636621096501983e-04       1.554235339535914306e-04
4.849999999999999645e+00        -1.719538204234538625e-04       -3.230468232859884381e-04       -3.230468964772192919e-04       1.573039474460635745e-04
4.900000000000000355e+00        -1.610581020905499372e-04       -3.086017125215612111e-04       -3.086017309157362831e-04       1.587531999684976824e-04
4.950000000000000178e+00        -1.508178725053710423e-04       -2.949049530971414868e-04       -2.949049903633316205e-04       1.597974792839629288e-04
5.000000000000000000e+00        -1.412142491936663191e-04       -2.819429921774307957e-04       -2.819429832867648145e-04       1.604507845622826778e-04
5.049999999999999822e+00        -1.321909264753173829e-04       -2.696410824856165789e-04       -2.696411024714073790e-04       1.607874924611785161e-04
5.099999999999999645e+00        -1.237564024414439245e-04       -2.580161112919476807e-04       -2.580160814829035587e-04       1.607878401155282688e-04
5.150000000000000355e+00        -1.158463312513902110e-04       -2.469916273812877705e-04       -2.469916430469787372e-04       1.605249663607644095e-04
5.200000000000000178e+00        -1.084465052336724966e-04       -2.365489888407346086e-04       -2.365489904092576978e-04       1.600128985610460575e-04
5.250000000000000000e+00        -1.015380739737281601e-04       -2.266738922744870877e-04       -2.266739252205773880e-04       1.592602375803942039e-04
5.299999999999999822e+00        -9.505699176415305374e-05       -2.172879044510800384e-04       -2.172879489932277863e-04       1.583394976587548797e-04
5.349999999999999645e+00        -8.902815306655043059e-05       -2.084214873039336169e-04       -2.084214943294249167e-04       1.572132690053074100e-04
5.400000000000000355e+00        -8.337561575544327752e-05       -1.999944384070140302e-04       -1.999945068233976997e-04       1.559544735409978955e-04
5.450000000000000178e+00        -7.809862881558160552e-05       -1.920005875208907753e-04       -1.920006550277797430e-04       1.545618929976733114e-04
5.500000000000000000e+00        -7.319310565989667339e-05       -1.844390699434761416e-04       -1.844391522296540131e-04       1.530283844313196084e-04
5.549999999999999822e+00        -6.858798223774442704e-05       -1.772357914151534430e-04       -1.772358093545811641e-04       1.514201654226887683e-04
5.599999999999999645e+00        -6.430848474892059130e-05       -1.704117098770829841e-04       -1.704117512359992759e-04       1.497080680219475823e-04
5.650000000000000355e+00        -6.032032501579465134e-05       -1.639373604294114273e-04       -1.639373942849964294e-04       1.479134587607511264e-04
5.700000000000000178e+00        -5.658993631740827368e-05       -1.577758382782512570e-04       -1.577757955089076347e-04       1.460651929501288748e-04
5.750000000000000000e+00        -5.312751568098406096e-05       -1.519328730128499672e-04       -1.519328898154093110e-04       1.441493016609562972e-04
5.799999999999999822e+00        -4.989265448429591743e-05       -1.463752057762057746e-04       -1.463752389496697504e-04       1.421910995413888656e-04
5.849999999999999645e+00        -4.687790419310999823e-05       -1.410899292468847932e-04       -1.410899421840916546e-04       1.401956258741954287e-04
5.900000000000000355e+00        -4.408119320586934009e-05       -1.360725455188394051e-04       -1.360725548180674593e-04       1.381597083418562022e-04
5.950000000000000178e+00        -4.146622768175234341e-05       -1.312931538168804479e-04       -1.312931772132763797e-04       1.361055365687313667e-04
6.000000000000000000e+00        -3.902948105505288368e-05       -1.267421812545244109e-04       -1.267422287525299396e-04       1.340353547329975470e-04
6.049999999999999822e+00        -3.676532127983023202e-05       -1.224130324035677120e-04       -1.224130921797517146e-04       1.319485762105720994e-04
6.099999999999999645e+00        -3.465180406792001122e-05       -1.182884905293057898e-04       -1.182884595833932906e-04       1.298552468251834568e-04
6.150000000000000355e+00        -3.268401450995384039e-05       -1.143580893940843168e-04       -1.143581230222956435e-04       1.277590579884524402e-04
6.200000000000000178e+00        -3.085041816675015980e-05       -1.106096479079887729e-04       -1.106097115495252581e-04       1.256656390178356730e-04
6.250000000000000000e+00        -2.913274601823445664e-05       -1.070283758681789266e-04       -1.070284335979998502e-04       1.235832533548197887e-04
6.299999999999999822e+00        -2.753116518405818169e-05       -1.036097985607220551e-04       -1.036098108158078901e-04       1.215102404894530252e-04
6.349999999999999645e+00        -2.604215910295692993e-05       -1.003492036661945974e-04       -1.003492720825782669e-04       1.194452452746297411e-04
6.400000000000000355e+00        -2.464937710655590308e-05       -9.723303925879278609e-05       -9.723310608356072748e-05       1.173960470732815509e-04
6.450000000000000178e+00        -2.334375539803090760e-05       -9.424857877915471249e-05       -9.424860240292431968e-05       1.153697961053801180e-04
6.500000000000000000e+00        -2.211892410386440133e-05       -9.138755810367271692e-05       -9.138759491511549982e-05       1.133693245374267633e-04
6.549999999999999822e+00        -2.097059654815325302e-05       -8.864775579153771901e-05       -8.864784603579423106e-05       1.113914907473478877e-04
6.599999999999999645e+00        -1.989913289079936476e-05       -8.602713298300201927e-05       -8.602714114536169632e-05       1.094335532907386721e-04
6.650000000000000355e+00        -1.889942654642595699e-05       -8.351813336870961280e-05       -8.351814607854279870e-05       1.074980555695326245e-04
6.700000000000000178e+00        -1.795939442317262547e-05       -8.110977730124702134e-05       -8.110976227149180318e-05       1.055913594991686466e-04
6.750000000000000000e+00        -1.706854277117031415e-05       -7.879032365876170729e-05       -7.879032863788992813e-05       1.037207192093880792e-04
6.799999999999999822e+00        -1.622676540691259106e-05       -7.655732453626384881e-05       -7.655734361255994713e-05       1.018842090725335936e-04
6.849999999999999645e+00        -1.543762709488305518e-05       -7.441404251862238084e-05       -7.441405386421351409e-05       1.000744671837416888e-04
6.900000000000000355e+00        -1.470112396972922397e-05       -7.236055855086576116e-05       -7.236056830484116631e-05       9.828735852535075423e-05
6.950000000000000178e+00        -1.401297799574763303e-05       -7.039043591161586733e-05       -7.039049000345798390e-05       9.652553768502158960e-05
7.000000000000000000e+00        -1.336228751469548115e-05       -6.849158241406527736e-05       -6.849160012611932302e-05       9.479725991878851232e-05
7.049999999999999822e+00        -1.273999100348532920e-05       -6.665498519309309700e-05       -6.665503291847230116e-05       9.310807450857438994e-05
7.099999999999999645e+00        -1.214449570952069735e-05       -6.487804013799447489e-05       -6.487809013711043349e-05       9.145715699743206528e-05
7.150000000000000355e+00        -1.158196527839550072e-05       -6.316536816397544385e-05       -6.316536723138810316e-05       8.983652611460613002e-05
7.200000000000000178e+00        -1.105769819886859295e-05       -6.152147900051474494e-05       -6.152157879446562561e-05       8.823848344219342721e-05
7.250000000000000000e+00        -1.057090639378088781e-05       -5.994557502075892330e-05       -5.994559455180237251e-05       8.666085301411996511e-05
7.299999999999999822e+00        -1.011511448822943748e-05       -5.842973475322921217e-05       -5.842979475678689028e-05       8.510854814813839653e-05
7.349999999999999645e+00        -9.679395585493466569e-06       -5.696200038896037654e-05       -5.696200582283594827e-05       8.359081044728711163e-05
7.400000000000000355e+00        -9.256239533073085113e-06       -5.553433767913062979e-05       -5.553435493643732457e-05       8.211274513270083730e-05
7.450000000000000178e+00        -8.845172938976020305e-06       -5.414576391471470629e-05       -5.414577275919540966e-05       8.067293362001848323e-05
7.500000000000000000e+00        -8.453159349386396570e-06       -5.280224879156136808e-05       -5.280228423876209831e-05       7.926275981118280356e-05
7.549999999999999822e+00        -8.087690272162717520e-06       -5.151032816597123087e-05       -5.151032382277875854e-05       7.787323517005617646e-05
7.599999999999999645e+00        -7.752041934594444683e-06       -5.027289968806414322e-05       -5.027292876880196104e-05       7.649925629449327857e-05
7.650000000000000355e+00        -7.443391037753599448e-06       -4.908650909696277154e-05       -4.908649429458122881e-05       7.514195345903473822e-05
7.700000000000000178e+00        -7.154796090702575384e-06       -4.794330949975389444e-05       -4.794333880786538771e-05       7.380700122849859213e-05
7.750000000000000000e+00        -6.875804270833896226e-06       -4.683220255996545234e-05       -4.683217229617397948e-05       7.250346203546698121e-05
7.799999999999999822e+00        -6.598142814340235418e-06       -4.574421338388034997e-05       -4.574420426584069332e-05       7.123825645249937111e-05
7.849999999999999645e+00        -6.319798327325543141e-06       -4.467698433385791645e-05       -4.467693724441446079e-05       7.001197837963601955e-05
7.900000000000000355e+00        -6.046204585885561755e-06       -4.363499035120455005e-05       -4.363499055548558658e-05       6.881799146141176493e-05
7.950000000000000178e+00        -5.786702555354850119e-06       -4.262706763169532564e-05       -4.262712149616376678e-05       6.764583582663519223e-05
8.000000000000000000e+00        -5.550029523959665312e-06       -4.166141549744040162e-05       -4.166145367312523717e-05       6.648563459021872291e-05
2.500000000000000000e+01         3.552713678800500929e-15       -1.731947918415244203e-14        5.773159728050814010e-15       5.639932965095795225e-14
