PBE0, MBD correlation, PMBD correlation and GA results for Benzene-Ar (Cavity Frequency = 2.0 eV; coupling strength = 0.05 a.u.)
Distance Bz-Ar (A)                         E0 (PBE)                     MBD Correlation               PMBD corr (pol x)                PMBD corr (pol y)             PMBD corr (pol z)                  GA corr
3.535353535353535470e+00        -7.590097911005608466e+02       -8.030525235085406166e-03       1.333592005693340354e-02        1.333595176774160507e-02            1.246891592126964099e-02        2.936750573170143416e-02
3.616161616161616355e+00        -7.590098553394035434e+02       -7.941146515234365211e-03       1.342790927255776978e-02        1.342794149229220579e-02            1.254286910584667680e-02        2.935362623846332966e-02
3.696969696969697239e+00        -7.590098845975744553e+02       -7.853872336079703587e-03       1.351765447675035148e-02        1.351768727105806533e-02            1.261288425333262353e-02        2.934015598535396827e-02
3.777777777777777679e+00        -7.590098896785058287e+02       -7.769502876161737959e-03       1.360429743153268589e-02        1.360433074974132239e-02            1.267848196367715730e-02        2.932723882038409946e-02
3.858585858585859008e+00        -7.590098798037599863e+02       -7.688649172608919002e-03       1.368711076737838539e-02        1.368714436143037005e-02            1.273928644805799593e-02        2.931460868146176443e-02
3.939393939393939448e+00        -7.590098595992151331e+02       -7.611778615535413905e-03       1.376568097964891990e-02        1.376571467749876376e-02            1.279520065401662521e-02        2.930266548937487947e-02
4.020202020202020776e+00        -7.590098302019608809e+02       -7.539202001551004173e-03       1.383974151599254299e-02        1.383977517151002701e-02            1.284623680454899386e-02        2.929190828727143078e-02
4.101010101010101216e+00        -7.590097957889452118e+02       -7.471064350207612392e-03       1.390899871871908999e-02        1.390903202158177976e-02            1.289234513615511446e-02        2.928173373601502746e-02
4.181818181818181657e+00        -7.590097601858011558e+02       -7.407402786046901610e-03       1.397334093737434557e-02        1.397337380921648275e-02            1.293361704178153104e-02        2.927180968553210610e-02
4.262626262626262985e+00        -7.590097207598092837e+02       -7.348198849340903394e-03       1.403296547404053740e-02        1.403299809639335649e-02            1.297041301848445016e-02        2.926301130532071165e-02
4.343434343434343425e+00        -7.590096762310877239e+02       -7.293348697603008191e-03       1.408802258342944924e-02        1.408805504826027288e-02            1.300302442744083464e-02        2.925553975256737355e-02
4.424242424242423866e+00        -7.590096306311320404e+02       -7.242674901108969721e-03       1.413860262361765763e-02        1.413863513877622324e-02            1.303165879781609249e-02        2.924862703573863354e-02
4.505050505050505194e+00        -7.590095875639165115e+02       -7.195965731645159735e-03       1.418491313125613829e-02        1.418494595401220693e-02            1.305659651471202665e-02        2.924194068699349433e-02
4.585858585858586522e+00        -7.590095435589148565e+02       -7.153000681411114670e-03       1.422726081536573872e-02        1.422729424068158721e-02            1.307819231572615593e-02        2.923610575121873487e-02
4.666666666666666963e+00        -7.590094965551472797e+02       -7.113554728658044723e-03       1.426596390187029328e-02        1.426599795095206957e-02            1.309681676367802083e-02        2.923133435837448751e-02
4.747474747474747403e+00        -7.590094503342885446e+02       -7.077381865697063290e-03       1.430126842252654740e-02        1.430130306796861817e-02            1.311275815308121651e-02        2.922701277690912744e-02
4.828282828282828731e+00        -7.590094078473528043e+02       -7.044254101213454078e-03       1.433354765059036140e-02        1.433358273765250601e-02            1.312638517345376954e-02        2.922302227714667147e-02
4.909090909090909172e+00        -7.590093673026955230e+02       -7.013925529930631342e-03       1.436297913547512906e-02        1.436301447781218599e-02            1.313786814025341698e-02        2.921948578304742195e-02
4.989898989898989612e+00        -7.590093263978590130e+02       -6.986171721351297492e-03       1.438981099450309387e-02        1.438984634083162462e-02            1.314745914359249923e-02        2.921656624386969811e-02
5.070707070707070940e+00        -7.590092877543493159e+02       -6.960788985001187257e-03       1.441435298566950962e-02        1.441438815502316118e-02            1.315547210162826275e-02        2.921391949103678207e-02
5.151515151515152269e+00        -7.590092524371934815e+02       -6.937591200262716029e-03       1.443691511211220302e-02        1.443694998778966010e-02            1.316218322354956172e-02        2.921164554961877893e-02
5.232323232323232709e+00        -7.590092199606867780e+02       -6.916381963339546246e-03       1.445762317774601513e-02        1.445765781815211426e-02            1.316770055583127430e-02        2.920963815483670900e-02
5.313131313131313149e+00        -7.590091890198530109e+02       -6.896978329150371678e-03       1.447658031773890741e-02        1.447661482474060790e-02            1.317210372310739785e-02        2.920788827713496558e-02
5.393939393939394478e+00        -7.590091607010588177e+02       -6.879231534105301193e-03       1.449406599066804802e-02        1.449410049444210813e-02            1.317566313707452252e-02        2.920630690261702411e-02
5.474747474747474918e+00        -7.590091349961098786e+02       -6.863000014970310758e-03       1.451024380469867481e-02        1.451027847716268582e-02            1.317850480532811730e-02        2.920504086117820322e-02
5.555555555555555358e+00        -7.590091119435018072e+02       -6.848144264134603532e-03       1.452522814926382466e-02        1.452526307106261072e-02            1.318072573611317466e-02        2.920390366059860687e-02
5.636363636363636687e+00        -7.590090907705593963e+02       -6.834535361836202583e-03       1.453905703879776468e-02        1.453909222752081121e-02            1.318233251886269386e-02        2.920285863651464822e-02
5.717171717171718015e+00        -7.590090718571758543e+02       -6.822066899484724445e-03       1.455191956310386558e-02        1.455195498552619426e-02            1.318349935454854460e-02        2.920194890163519894e-02
5.797979797979798455e+00        -7.590090548114010289e+02       -6.810637710620071061e-03       1.456389901249721675e-02        1.456393456795801455e-02            1.318428031480145535e-02        2.920125411724429354e-02
5.878787878787878896e+00        -7.590090398314314371e+02       -6.800152957710636770e-03       1.457507589978668250e-02        1.457511146568357674e-02            1.318473613567405778e-02        2.920057523452360831e-02
5.959595959595960224e+00        -7.590090262769634819e+02       -6.790525582125894744e-03       1.458548097091849627e-02        1.458551644645211809e-02            1.318487307648119611e-02        2.919995296259989687e-02
6.040404040404040664e+00        -7.590090143231667525e+02       -6.781681574256737122e-03       1.459521083105030925e-02        1.459524612853968506e-02            1.318476742625485088e-02        2.919945863417267723e-02
6.121212121212121993e+00        -7.590090036960572206e+02       -6.773549489329511175e-03       1.460432748085871424e-02        1.460436254591179761e-02            1.318446386394533931e-02        2.919905390367480771e-02
6.202020202020202433e+00        -7.590089944643628996e+02       -6.766066666681780362e-03       1.461285635716969011e-02        1.461289118619113481e-02            1.318396416792744219e-02        2.919863308845499147e-02
6.282828282828282873e+00        -7.590089862723841634e+02       -6.759173233279014426e-03       1.462085655043843246e-02        1.462089115168474507e-02            1.318331442237941076e-02        2.919828554459710096e-02
6.363636363636364202e+00        -7.590089790739363025e+02       -6.752818823137829440e-03       1.462835634357340098e-02        1.462839074470423384e-02            1.318252100108630032e-02        2.919802670952043738e-02
6.444444444444444642e+00        -7.590089728334781967e+02       -6.746955737343185433e-03       1.463541685800962000e-02        1.463545106233787862e-02            1.318163206933853360e-02        2.919776642039389677e-02
6.525252525252525970e+00        -7.590089673671066066e+02       -6.741540895344400042e-03       1.464202707179040885e-02        1.464206111583443715e-02            1.318061606116671669e-02        2.919751559013842798e-02
6.606060606060606410e+00        -7.590089626346508567e+02       -6.736536022538430757e-03       1.464824847114698514e-02        1.464828237450532811e-02            1.317952218434292888e-02        2.919732877010394051e-02
6.686868686868686851e+00        -7.590089585092553079e+02       -6.731905335037424720e-03       1.465410075241990739e-02        1.465413451373542841e-02            1.317835562031888230e-02        2.919718090338159835e-02
6.767676767676768179e+00        -7.590089549775943851e+02       -6.727617943884212082e-03       1.465961470663934563e-02        1.465964836758004708e-02            1.317713289480515471e-02        2.919701623761824724e-02
6.848484848484848619e+00        -7.590089519201836765e+02       -6.723643434527915019e-03       1.466480372848444347e-02        1.466483731044299077e-02            1.317585509733554261e-02        2.919687073095719038e-02
6.929292929292929948e+00        -7.590089492955611377e+02       -6.719956416617378636e-03       1.466968662051293393e-02        1.466972013039224976e-02            1.317452747360547960e-02        2.919677558683912363e-02
7.010101010101010388e+00        -7.590089470501554842e+02       -6.716532410459663538e-03       1.467428383591240504e-02        1.467431730438306658e-02            1.317315954033126957e-02        2.919670057581194578e-02
7.090909090909091717e+00        -7.590089451519831982e+02       -6.713349985991712288e-03       1.467861564588979206e-02        1.467864907007410125e-02            1.317176022219079812e-02        2.919661163069447660e-02
7.171717171717172157e+00        -7.590089435511190459e+02       -6.710389151638906924e-03       1.468269729504179111e-02        1.468273070111614231e-02            1.317033428157543540e-02        2.919652685158662803e-02
7.252525252525252597e+00        -7.590089421981242594e+02       -6.707632248824424437e-03       1.468654152157533588e-02        1.468657491054159436e-02            1.316888372085678327e-02        2.919647702664661740e-02
7.333333333333333925e+00        -7.590089410637924630e+02       -6.705062714743803554e-03       1.469016441712156507e-02        1.469019780605940184e-02            1.316741539485022372e-02        2.919644165174277439e-02
7.414141414141414366e+00        -7.590089401143379746e+02       -6.702665694621856574e-03       1.469357944713678421e-02        1.469361283498038517e-02            1.316593359723761125e-02        2.919640325765330072e-02
7.494949494949495694e+00        -7.590089393428679614e+02       -6.700427899922090091e-03       1.469679959255465462e-02        1.469683298397050919e-02            1.316444227951940604e-02        2.919634744990510025e-02
7.575757575757576134e+00        -7.590089387055653560e+02       -6.698336836739926525e-03       1.469983615741732308e-02        1.469986954766788756e-02            1.316294455112831940e-02        2.919630657398199561e-02
7.656565656565657463e+00        -7.590089381838275813e+02       -6.696381258516126422e-03       1.470270088356251392e-02        1.470273426226320623e-02            1.316144427409682294e-02        2.919628457235295960e-02
7.737373737373737903e+00        -7.590089377599618956e+02       -6.694550988953551496e-03       1.470540462603686649e-02        1.470543799383428052e-02            1.315994468904513326e-02        2.919627022139959296e-02
7.818181818181818343e+00        -7.590089374135425260e+02       -6.692836604504037723e-03       1.470795695338011910e-02        1.470799031126546197e-02            1.315844822781286894e-02        2.919626019268029352e-02
7.898989898989899672e+00        -7.590089371376716372e+02       -6.691229606410331598e-03       1.471036785763502053e-02        1.471040120861566436e-02            1.315695805304706312e-02        2.919623900511585102e-02
7.979797979797980112e+00        -7.590089369128338603e+02       -6.689722065049252819e-03       1.471264506942127070e-02        1.471267840392620485e-02            1.315547540671957449e-02        2.919622093279131483e-02
8.060606060606062329e+00        -7.590089367313257753e+02       -6.688306779746966413e-03       1.471479710297884935e-02        1.471483042156229715e-02            1.315400268985378318e-02        2.919620735097613884e-02
8.141414141414141881e+00        -7.590089365858643760e+02       -6.686977197007948348e-03       1.471683190872319358e-02        1.471686521995962948e-02            1.315254193620596368e-02        2.919619838095529121e-02
8.222222222222221433e+00        -7.590089364699479120e+02       -6.685727316334322268e-03       1.471875701586178309e-02        1.471879030112255293e-02            1.315109502452393997e-02        2.919619541795513348e-02
8.303030303030304538e+00        -7.590089363783749832e+02       -6.684551616977785216e-03       1.472057935800386019e-02        1.472061264473900621e-02            1.314966358459912499e-02        2.919618910232102751e-02
8.383838383838384090e+00        -7.590089363071341495e+02       -6.683444901369739455e-03       1.472230592818135619e-02        1.472233919789722734e-02            1.314824963534277913e-02        2.919617733174653673e-02
8.464646464646465418e+00        -7.590089362502914128e+02       -6.682402629540007410e-03       1.472394239378438385e-02        1.472397564903005218e-02            1.314685386033254133e-02        2.919617021126484982e-02
8.545454545454546746e+00        -7.590089362044687959e+02       -6.681420433929829983e-03       1.472549463727013119e-02        1.472552786947112224e-02            1.314547762457785041e-02        2.919616626424242911e-02
8.626262626262626299e+00        -7.590089361664138323e+02       -6.680494359530442239e-03       1.472696808600737484e-02        1.472700131471427198e-02            1.314412197171144214e-02        2.919616326765767794e-02
8.707070707070707627e+00        -7.590089361335857348e+02       -6.679620762538363010e-03       1.472836789021236825e-02        1.472840110039008721e-02            1.314278785745592870e-02        2.919616133376405978e-02
8.787878787878788955e+00        -7.590089361041472102e+02       -6.678796287774346752e-03       1.472969888837916130e-02        1.472973207182448618e-02            1.314147614001015540e-02        2.919616065925748766e-02
8.868686868686868507e+00        -7.590089360770188023e+02       -6.678017810553882327e-03       1.473096556158459691e-02        1.473099874205452409e-02            1.314018753864942823e-02        2.919615830215896782e-02
8.949494949494949836e+00        -7.590089360520728405e+02       -6.677282515706650656e-03       1.473217223397504938e-02        1.473220539563868670e-02            1.313892269335781293e-02        2.919615375388475223e-02
9.030303030303031164e+00        -7.590089360290443210e+02       -6.676587689629087663e-03       1.473332272158778267e-02        1.473335586633872651e-02            1.313768202993159662e-02        2.919615045724449284e-02
9.111111111111110716e+00        -7.590089360082672556e+02       -6.675930830894571955e-03       1.473442058170526536e-02        1.473445372950621390e-02            1.313646586615213607e-02        2.919614850996269870e-02
9.191919191919193821e+00        -7.590089359901028274e+02       -6.675309667018680670e-03       1.473546926533764179e-02        1.473550240749865736e-02            1.313527450702700605e-02        2.919614738944710172e-02
9.272727272727273373e+00        -7.590089359747778417e+02       -6.674722056025927941e-03       1.473647195818017508e-02        1.473650508432911010e-02            1.313410816715609997e-02        2.919614670687632405e-02
9.353535353535352925e+00        -7.590089359623945029e+02       -6.674166024971839306e-03       1.473743166833507701e-02        1.473746478422377493e-02            1.313296701673927203e-02        2.919614618042279050e-02
9.434343434343436030e+00        -7.590089359528985824e+02       -6.673639752655446955e-03       1.473835127929667976e-02        1.473838438160335329e-02            1.313185124884164168e-02        2.919614575396526843e-02
9.515151515151515582e+00        -7.590089359460096148e+02       -6.673141553168449036e-03       1.473923350017614098e-02        1.473926659127400285e-02            1.313076096371545987e-02        2.919614544092507744e-02
9.595959595959596911e+00        -7.590089359412348813e+02       -6.672669861925939472e-03       1.474008085197375806e-02        1.474011394446428369e-02            1.312969622997250951e-02        2.919614481869887285e-02
9.676767676767678239e+00        -7.590089359380109499e+02       -6.672223206606986423e-03       1.474089569546954692e-02        1.474092876940780172e-02            1.312865701799559304e-02        2.919614374410604146e-02
9.757575757575757791e+00        -7.590089359358095180e+02       -6.671800230028779310e-03       1.474168018968136096e-02        1.474171324691830876e-02            1.312764326303117457e-02        2.919614275201475734e-02
9.838383838383839120e+00        -7.590089359342193802e+02       -6.671399634976538096e-03       1.474243629855465088e-02        1.474246936635204008e-02            1.312665479489005804e-02        2.919614208166002728e-02
9.919191919191920448e+00        -7.590089359329723493e+02       -6.671020203661726100e-03       1.474316582801371567e-02        1.474319887381092542e-02            1.312569136969443662e-02        2.919614167908847827e-02
1.000000000000000000e+01        -7.590089359318649258e+02       -6.670660790765836623e-03       1.474387042502733891e-02        1.474390347200049689e-02            1.312475269230617414e-02        2.919614144745456830e-02
2.500000000000000000e+01        -7.590089358659123491e+02       -6.663784699137309531e-03       1.477184748859805552e-02        1.477188030853859857e-02            1.308593328217355634e-02        2.919614087947008593e-02
